Id;u_min;u_max;u_mean;sentiment;Cat;Label
p1655;10;20;15.0;0.0;pid;p1655
p1656;3;3;3.0;1.0;pid;p1656
p1657;1;11;4.33;0.0;pid;p1657
p1658;-1;-1;-1.0;0.0;pid;p1658
p1659;0;0;0.0;2.0;pid;p1659
p166;0;0;0.0;1.0;pid;p166
p1660;-2;-2;-2.0;2.0;pid;p1660
p1661;2;2;2.0;1.0;pid;p1661
p1662;-10;-10;-10.0;2.0;pid;p1662
p1663;0;0;0.0;0.0;pid;p1663
p1664;1;1;1.0;2.0;pid;p1664
p1665;4;4;4.0;1.0;pid;p1665
p1666;6;6;6.0;1.0;pid;p1666
p1667;8;8;8.0;2.0;pid;p1667
p1668;1;1;1.0;1.0;pid;p1668
p1669;2;2;2.0;0.0;pid;p1669
p167;18;18;18.0;2.0;pid;p167
p1670;0;1;0.5;0.0;pid;p1670
p1671;2;2;2.0;1.0;pid;p1671
p1672;13;26;19.5;1.0;pid;p1672
p1673;1;1;1.0;0.0;pid;p1673
p1674;2;2;2.0;1.0;pid;p1674
p1675;1;1;1.0;2.0;pid;p1675
p1676;1;1;1.0;0.0;pid;p1676
p1677;2;2;2.0;0.0;pid;p1677
p1678;1;1;1.0;1.0;pid;p1678
p1679;1;1;1.0;0.0;pid;p1679
p168;9;9;9.0;2.0;pid;p168
p1680;2;2;2.0;1.0;pid;p1680
p1681;-6;-6;-6.0;2.0;pid;p1681
p1682;17;17;17.0;1.0;pid;p1682
p1683;2;9;5.33;0.0;pid;p1683
p1684;1;1;1.0;0.0;pid;p1684
p1685;7;7;7.0;0.0;pid;p1685
p1686;3;3;3.0;1.0;pid;p1686
p1687;3;3;3.0;2.0;pid;p1687
p1688;1;4;2.5;1.0;pid;p1688
p1689;1;1;1.0;0.0;pid;p1689
p169;1;1;1.0;1.0;pid;p169
p1690;1;1;1.0;0.0;pid;p1690
p1691;4;4;4.0;1.0;pid;p1691
p1692;57;57;57.0;1.0;pid;p1692
p1693;2;2;2.0;2.0;pid;p1693
p1694;-32;-32;-32.0;1.0;pid;p1694
p1695;11;11;11.0;1.0;pid;p1695
p1696;5;5;5.0;;pid;p1696
p1697;2;4;3.0;0.0;pid;p1697
p1698;1;1;1.0;1.0;pid;p1698
p1699;1;1;1.0;1.0;pid;p1699
p17;-4;-4;-4.0;1.0;pid;p17
p170;1;1;1.0;1.0;pid;p170
p1700;0;0;0.0;1.0;pid;p1700
p1701;2;31;13.33;1.0;pid;p1701
p1702;-35;21;2.0;1.0;pid;p1702
p1703;16;16;16.0;0.0;pid;p1703
p1704;4;4;4.0;1.0;pid;p1704
p1705;6;6;6.0;0.0;pid;p1705
p1706;1;1;1.0;0.0;pid;p1706
p1707;5;5;5.0;1.0;pid;p1707
p1708;4;4;4.0;0.0;pid;p1708
p1709;2;2;2.0;1.0;pid;p1709
p171;20;20;20.0;0.0;pid;p171
p1710;1;1;1.0;0.0;pid;p1710
p1711;2;2;2.0;1.0;pid;p1711
p1712;2;2;2.0;1.0;pid;p1712
p1713;1;5;3.0;;pid;p1713
p1714;9;9;9.0;1.0;pid;p1714
p1715;6;11;8.5;;pid;p1715
p1716;3;3;3.0;0.0;pid;p1716
p1717;13;13;13.0;;pid;p1717
p1718;-1;-1;-1.0;;pid;p1718
p1719;2;2;2.0;;pid;p1719
p172;7;7;7.0;;pid;p172
p1720;-6;-6;-6.0;2.0;pid;p1720
p1721;-1;2;0.0;0.0;pid;p1721
p1722;0;0;0.0;2.0;pid;p1722
p1723;4;4;4.0;0.0;pid;p1723
p1724;2;2;2.0;1.0;pid;p1724
p1725;1;1;1.0;0.0;pid;p1725
p1726;3;3;3.0;;pid;p1726
p1727;5;5;5.0;0.0;pid;p1727
p1728;1;2;1.5;0.0;pid;p1728
p1729;1;11;6.0;0.0;pid;p1729
p173;-3;-3;-3.0;0.0;pid;p173
p1730;3;3;3.0;2.0;pid;p1730
p1731;2;2;2.0;;pid;p1731
p1732;1;1;1.0;0.0;pid;p1732
p1733;2;2;2.0;0.0;pid;p1733
