Id;u_min;u_max;u_mean;sentiment;Cat;Label
p2066;1;1;1.0;1.0;pid;p2066
p2067;1;1;1.0;1.0;pid;p2067
p2068;2;2;2.0;2.0;pid;p2068
p2069;2;2;2.0;0.0;pid;p2069
p207;12;12;12.0;;pid;p207
p2070;-1;-1;-1.0;0.0;pid;p2070
p2071;2;2;2.0;2.0;pid;p2071
p2072;2;2;2.0;;pid;p2072
p2073;2;2;2.0;2.0;pid;p2073
p2074;-2;17;5.88;;pid;p2074
p2075;4;14;7.8;1.0;pid;p2075
p2076;-6;172;25.52;;pid;p2076
p2077;1;2;1.5;1.0;pid;p2077
p2078;1;30;9.12;;pid;p2078
p2079;1;1;1.0;0.0;pid;p2079
p208;3;3;3.0;1.0;pid;p208
p2080;2;2;2.0;;pid;p2080
p2081;1;4;2.5;2.0;pid;p2081
p2082;1;2;1.5;;pid;p2082
p2083;1;2;1.75;;pid;p2083
p2084;-17;13;0.4;;pid;p2084
p2085;1;1;1.0;1.0;pid;p2085
p2086;1;59;12.5;;pid;p2086
p2087;-1;29;8.4;;pid;p2087
p2088;1;1;1.0;;pid;p2088
p2089;1;1;1.0;;pid;p2089
p209;1;6;3.5;;pid;p209
p2090;1;1;1.0;;pid;p2090
p2091;-14;29;10.25;;pid;p2091
p2092;6;6;6.0;;pid;p2092
p2093;1;2;1.5;1.0;pid;p2093
p2094;2;2;2.0;1.0;pid;p2094
p2095;1;1;1.0;1.0;pid;p2095
p2096;1;1;1.0;0.0;pid;p2096
p2097;1;1;1.0;1.0;pid;p2097
p2098;1;10;5.5;0.0;pid;p2098
p2099;2;2;2.0;0.0;pid;p2099
p21;1;1;1.0;0.0;pid;p21
p210;5;12;8.5;0.0;pid;p210
p2100;2;2;2.0;0.0;pid;p2100
p2101;1;2;1.5;1.0;pid;p2101
p2102;1;16;8.5;1.0;pid;p2102
p2103;6;6;6.0;1.0;pid;p2103
p2104;1;1;1.0;2.0;pid;p2104
p2105;2;2;2.0;;pid;p2105
p2106;2;3;2.5;2.0;pid;p2106
p2107;1;1;1.0;0.0;pid;p2107
p2108;0;6;3.0;0.0;pid;p2108
p2109;5;5;5.0;;pid;p2109
p211;-5;-5;-5.0;1.0;pid;p211
p2110;1;1;1.0;;pid;p2110
p2111;3;3;3.0;;pid;p2111
p2112;1;2;1.25;;pid;p2112
p2113;1;1;1.0;1.0;pid;p2113
p2114;3;3;3.0;;pid;p2114
p2115;1;5;2.33;;pid;p2115
p2116;1;1;1.0;1.0;pid;p2116
p2117;-2;5;2.0;1.0;pid;p2117
p2118;1;1;1.0;1.0;pid;p2118
p2119;1;2;1.5;0.0;pid;p2119
p212;1;1;1.0;;pid;p212
p2120;1;1;1.0;1.0;pid;p2120
p2121;2;60;25.1;0.0;pid;p2121
p2122;1;1;1.0;0.0;pid;p2122
p2123;3;3;3.0;;pid;p2123
p2124;1;1;1.0;;pid;p2124
p2125;1;1;1.0;0.0;pid;p2125
p2126;-2;-2;-2.0;0.0;pid;p2126
p2127;-7;-7;-7.0;0.0;pid;p2127
p2128;0;26;8.86;1.0;pid;p2128
p2129;1;1;1.0;1.0;pid;p2129
p213;4;4;4.0;1.0;pid;p213
p2130;1;1;1.0;2.0;pid;p2130
p2131;-64;243;18.35;0.0;pid;p2131
p2132;1;1;1.0;0.0;pid;p2132
p2133;1;3;1.36;0.0;pid;p2133
p2134;1;1;1.0;0.0;pid;p2134
p2135;0;1;0.5;1.0;pid;p2135
p2136;1;9;2.78;2.0;pid;p2136
p2137;-5;15;4.14;1.0;pid;p2137
p2138;3;16;7.5;2.0;pid;p2138
p2139;0;44;9.31;0.0;pid;p2139
p214;12;12;12.0;0.0;pid;p214
p2140;-16;9;2.46;2.0;pid;p2140
p2141;-1;25;7.55;2.0;pid;p2141
p2142;2;12;6.33;2.0;pid;p2142
p2143;1;3;2.0;1.0;pid;p2143
p2144;2;2;2.0;0.0;pid;p2144
p2145;2;2;2.0;1.0;pid;p2145
p2146;1;1;1.0;2.0;pid;p2146
p2147;-3;13;4.14;0.0;pid;p2147
p2148;3;12;6.4;1.0;pid;p2148
p2149;1;16;5.91;2.0;pid;p2149
p215;4;4;4.0;1.0;pid;p215
p2150;1;1;1.0;2.0;pid;p2150
p2151;-1;11;4.33;2.0;pid;p2151
p2152;1;1;1.0;1.0;pid;p2152
p2153;-1;24;6.0;0.0;pid;p2153
p2154;0;2;0.86;1.0;pid;p2154
p2155;-8;1;-1.75;1.0;pid;p2155
p2156;-9;8;0.75;1.0;pid;p2156
p2157;1;1;1.0;1.0;pid;p2157
p2158;0;0;0.0;1.0;pid;p2158
p2159;2;3;2.5;1.0;pid;p2159
p216;3;3;3.0;2.0;pid;p216
p2160;1;2;1.5;1.0;pid;p2160
p2161;3;3;3.0;0.0;pid;p2161
p2162;2;15;8.5;0.0;pid;p2162
p2163;1;1;1.0;2.0;pid;p2163
p2164;0;0;0.0;0.0;pid;p2164
p2165;2;19;9.17;;pid;p2165
p2166;1;2;1.5;2.0;pid;p2166
p2167;1;1;1.0;;pid;p2167
p2168;1;3;2.0;;pid;p2168
p2169;2;2;2.0;;pid;p2169
p217;2;2;2.0;1.0;pid;p217
p2170;4;4;4.0;;pid;p2170
p2171;1;1;1.0;;pid;p2171
p2172;1;1;1.0;;pid;p2172
p2173;1;1;1.0;;pid;p2173
p2174;2;4;3.0;;pid;p2174
p2175;1;1;1.0;;pid;p2175
p2176;0;0;0.0;1.0;pid;p2176
p2177;1;1;1.0;1.0;pid;p2177
p2178;3;18;10.5;0.0;pid;p2178
p2179;1;3;2.0;1.0;pid;p2179
p218;1;18;7.0;;pid;p218
p2180;1;1;1.0;1.0;pid;p2180
p2181;1;1;1.0;2.0;pid;p2181
p2182;-1;16;7.2;;pid;p2182
p2183;9;53;25.67;;pid;p2183
p2184;1;46;13.5;1.0;pid;p2184
p2185;2;2;2.0;1.0;pid;p2185
p2186;-1;36;11.25;1.0;pid;p2186
p2187;2;3;2.5;2.0;pid;p2187
p2188;1;1;1.0;1.0;pid;p2188
p2189;2;2;2.0;1.0;pid;p2189
p219;0;0;0.0;0.0;pid;p219
p2190;-2;1;0.0;0.0;pid;p2190
p2191;1;2;1.5;2.0;pid;p2191
p2192;1;1;1.0;1.0;pid;p2192
p2193;9;9;9.0;;pid;p2193
p2194;1;1;1.0;;pid;p2194
p2195;0;0;0.0;;pid;p2195
p2196;2;2;2.0;;pid;p2196
p2197;1;1;1.0;;pid;p2197
p2198;1;1;1.0;2.0;pid;p2198
p2199;0;3;1.25;0.0;pid;p2199
p22;7;7;7.0;0.0;pid;p22
p220;1;1;1.0;1.0;pid;p220
p2200;-7;64;5.2;;pid;p2200
p2201;0;1;0.5;;pid;p2201
p2202;4;7;5.5;0.0;pid;p2202
p2203;5;5;5.0;;pid;p2203
p2204;-11;10;0.75;;pid;p2204
p2205;1;10;4.0;;pid;p2205
p2206;0;0;0.0;;pid;p2206
p2207;1;1;1.0;;pid;p2207
p2208;-14;102;20.12;1.0;pid;p2208
p2209;-35;74;11.67;0.0;pid;p2209
p221;2;2;2.0;0.0;pid;p221
p2210;4;4;4.0;;pid;p2210
p2211;2;6;4.33;0.0;pid;p2211
p2212;1;6;1.37;;pid;p2212
p2213;1;1;1.0;;pid;p2213
p2214;1;1;1.0;;pid;p2214
p2215;3;25;12.33;;pid;p2215
p2216;2;6;3.5;0.0;pid;p2216
p2217;2;2;2.0;2.0;pid;p2217
p2218;1;5;3.0;0.0;pid;p2218
p2219;0;0;0.0;0.0;pid;p2219
p222;1;1;1.0;0.0;pid;p222
p2220;1;1;1.0;0.0;pid;p2220
p2221;1;1;1.0;1.0;pid;p2221
p2222;1;1;1.0;0.0;pid;p2222
p2223;1;5;3.0;;pid;p2223
p2224;2;2;2.0;1.0;pid;p2224
p2225;5;12;8.67;;pid;p2225
p2226;1;1;1.0;;pid;p2226
p2227;1;1;1.0;;pid;p2227
p2228;1;3;1.75;0.0;pid;p2228
p2229;1;1;1.0;1.0;pid;p2229
p223;0;0;0.0;1.0;pid;p223
p2230;6;19;12.5;0.0;pid;p2230
p2231;1;11;4.0;2.0;pid;p2231
p2232;5;5;5.0;1.0;pid;p2232
p2233;3;3;3.0;0.0;pid;p2233
p2234;8;8;8.0;1.0;pid;p2234
p2235;7;10;8.33;2.0;pid;p2235
p2236;4;4;4.0;2.0;pid;p2236
p2237;1;2;1.5;1.0;pid;p2237
p2238;1;12;5.5;1.0;pid;p2238
p2239;1;2;1.5;0.0;pid;p2239
p224;0;0;0.0;0.0;pid;p224
p2240;3;7;5.0;0.0;pid;p2240
p2241;1;3;1.67;1.0;pid;p2241
p2242;1;1;1.0;0.0;pid;p2242
p2243;-54;96;10.57;1.0;pid;p2243
p2244;1;1;1.0;1.0;pid;p2244
p2245;3;3;3.0;0.0;pid;p2245
p2246;1;40;14.33;0.0;pid;p2246
p2247;1;1;1.0;0.0;pid;p2247
p2248;2;5;3.5;1.0;pid;p2248
p2249;2;2;2.0;0.0;pid;p2249
p225;2;2;2.0;0.0;pid;p225
p2250;0;0;0.0;1.0;pid;p2250
p2251;1;1;1.0;1.0;pid;p2251
p2252;1;1;1.0;0.0;pid;p2252
p2253;1;1;1.0;2.0;pid;p2253
p2254;2;2;2.0;0.0;pid;p2254
p2255;1;1;1.0;0.0;pid;p2255
p2256;1;1;1.0;0.0;pid;p2256
p2257;1;2;1.5;1.0;pid;p2257
p2258;-1;35;8.57;2.0;pid;p2258
p2259;1;2;1.5;1.0;pid;p2259
p226;1;1;1.0;0.0;pid;p226
p2260;1;1;1.0;1.0;pid;p2260
p2261;1;3;2.0;2.0;pid;p2261
p2262;3;3;3.0;0.0;pid;p2262
p2263;2;2;2.0;2.0;pid;p2263
p2264;-13;790;81.83;;pid;p2264
p2265;1;1;1.0;0.0;pid;p2265
p2266;1;1;1.0;2.0;pid;p2266
p2267;1;1;1.0;;pid;p2267
p2268;-27;167;15.17;0.0;pid;p2268
p2269;1;1;1.0;1.0;pid;p2269
p227;1;1;1.0;;pid;p227
p2270;1;3;2.0;;pid;p2270
p2271;-1;7;2.33;;pid;p2271
p2272;1;1;1.0;;pid;p2272
p2273;1;1;1.0;;pid;p2273
p2274;1;1;1.0;;pid;p2274
p2275;3;3;3.0;;pid;p2275
p2276;3;3;3.0;2.0;pid;p2276
p2277;1;6;3.5;0.0;pid;p2277
p2278;1;1;1.0;1.0;pid;p2278
p2279;1;1;1.0;2.0;pid;p2279
p228;1;1;1.0;;pid;p228
p2280;1;1;1.0;1.0;pid;p2280
p2281;1;1;1.0;1.0;pid;p2281
p2282;1;1;1.0;0.0;pid;p2282
p2283;1;1;1.0;;pid;p2283
p2284;1;1;1.0;1.0;pid;p2284
p2285;1;1;1.0;;pid;p2285
p2286;-44;110;20.0;;pid;p2286
p2287;-3;21;10.2;1.0;pid;p2287
p2288;2;4;3.0;;pid;p2288
p2289;-1;6;2.33;;pid;p2289
p229;2;2;2.0;;pid;p229
p2290;-2;8;3.0;;pid;p2290
p2291;2;5;3.5;;pid;p2291
p2292;-26;9;-4.75;;pid;p2292
p2293;-10;2;-4.0;;pid;p2293
p2294;0;117;22.25;;pid;p2294
p2295;1;3;2.0;;pid;p2295
p2296;2;6;3.0;;pid;p2296
p2297;1;17;7.25;;pid;p2297
p2298;1;23;9.88;;pid;p2298
p2299;1;23;5.08;;pid;p2299
p23;0;0;0.0;1.0;pid;p23
p230;0;0;0.0;1.0;pid;p230
p2300;1;1;1.0;1.0;pid;p2300
p2301;1;1;1.0;1.0;pid;p2301
p2302;1;2;1.33;0.0;pid;p2302
p2303;1;3;2.0;0.0;pid;p2303
p2304;1;1;1.0;2.0;pid;p2304
p2305;1;1;1.0;2.0;pid;p2305
p2306;2;2;2.0;0.0;pid;p2306
p2307;9;14;11.5;1.0;pid;p2307
p2308;0;1;0.5;1.0;pid;p2308
p2309;1;1;1.0;0.0;pid;p2309
p231;1;1;1.0;2.0;pid;p231
p2310;1;1;1.0;2.0;pid;p2310
p2311;1;1;1.0;2.0;pid;p2311
p2312;-1;7;2.67;1.0;pid;p2312
p2313;2;2;2.0;1.0;pid;p2313
p2314;1;1;1.0;2.0;pid;p2314
p2315;1;1;1.0;1.0;pid;p2315
p2316;1;36;11.0;1.0;pid;p2316
p2317;1;1;1.0;0.0;pid;p2317
p2318;-33;45;2.41;1.0;pid;p2318
p2319;2;4;3.33;2.0;pid;p2319
p232;1;1;1.0;1.0;pid;p232
p2320;10;43;26.5;2.0;pid;p2320
p2321;-1;1;0.0;1.0;pid;p2321
p2322;2;2;2.0;2.0;pid;p2322
p2323;-1;-1;-1.0;2.0;pid;p2323
p2324;3;3;3.0;0.0;pid;p2324
p2325;1;1;1.0;2.0;pid;p2325
p2326;1;4;2.5;2.0;pid;p2326
p2327;8;8;8.0;0.0;pid;p2327
p2328;3;3;3.0;0.0;pid;p2328
p2329;-7;18;4.67;0.0;pid;p2329
p233;1;1;1.0;0.0;pid;p233
p2330;1;3;2.0;2.0;pid;p2330
p2331;2;2;2.0;0.0;pid;p2331
p2332;5;5;5.0;0.0;pid;p2332
p2333;1;1;1.0;2.0;pid;p2333
p2334;2;2;2.0;1.0;pid;p2334
p2335;2;2;2.0;0.0;pid;p2335
p2336;4;4;4.0;1.0;pid;p2336
p2337;0;0;0.0;0.0;pid;p2337
p2338;0;0;0.0;0.0;pid;p2338
p2339;0;0;0.0;2.0;pid;p2339
p234;1;1;1.0;0.0;pid;p234
p2340;1;1;1.0;0.0;pid;p2340
p2341;2;2;2.0;0.0;pid;p2341
p2342;1;2;1.5;1.0;pid;p2342
p2343;0;0;0.0;2.0;pid;p2343
p2344;-7;1;-3.0;0.0;pid;p2344
p2345;1;1;1.0;0.0;pid;p2345
p2346;1;1;1.0;0.0;pid;p2346
p2347;2;2;2.0;0.0;pid;p2347
p2348;1;1;1.0;0.0;pid;p2348
p2349;0;0;0.0;0.0;pid;p2349
p235;1;1;1.0;0.0;pid;p235
p2350;1;1;1.0;0.0;pid;p2350
p2351;1;1;1.0;1.0;pid;p2351
p2352;2;2;2.0;0.0;pid;p2352
p2353;1;1;1.0;1.0;pid;p2353
p2354;1;1;1.0;0.0;pid;p2354
p2355;1;1;1.0;0.0;pid;p2355
p2356;1;1;1.0;0.0;pid;p2356
p2357;1;5;3.0;0.0;pid;p2357
p2358;-2;5;1.5;1.0;pid;p2358
p2359;1;1;1.0;0.0;pid;p2359
p236;1;1;1.0;;pid;p236
p2360;1;1;1.0;0.0;pid;p2360
p2361;1;8;4.33;0.0;pid;p2361
p2362;-8;4;-2.0;1.0;pid;p2362
p2363;-1;-1;-1.0;;pid;p2363
p2364;2;4;3.0;1.0;pid;p2364
p2365;-4;4;0.0;2.0;pid;p2365
p2366;1;1;1.0;;pid;p2366
p2367;1;3;2.33;0.0;pid;p2367
p2368;1;14;6.67;1.0;pid;p2368
p2369;1;12;4.5;;pid;p2369
p237;1;1;1.0;2.0;pid;p237
p2370;3;7;5.0;0.0;pid;p2370
p2371;1;1;1.0;0.0;pid;p2371
p2372;1;2;1.33;;pid;p2372
p2373;3;15;8.0;;pid;p2373
p2374;1;1;1.0;;pid;p2374
p2375;1;1;1.0;;pid;p2375
p2376;1;1;1.0;;pid;p2376
p2377;0;31;6.17;;pid;p2377
p2378;6;16;11.0;;pid;p2378
p2379;2;2;2.0;;pid;p2379
p238;3;3;3.0;;pid;p238
p2380;1;1;1.0;;pid;p2380
p2381;-5;2;-1.5;;pid;p2381
p2382;0;0;0.0;0.0;pid;p2382
p2383;3;4;3.5;1.0;pid;p2383
p2384;-7;0;-4.33;0.0;pid;p2384
p2385;0;0;0.0;0.0;pid;p2385
p2386;0;0;0.0;2.0;pid;p2386
p2387;1;1;1.0;0.0;pid;p2387
p2388;2;2;2.0;;pid;p2388
p2389;-8;1;-3.5;2.0;pid;p2389
p239;1;1;1.0;2.0;pid;p239
p2390;-6;-6;-6.0;1.0;pid;p2390
p2391;-1;1;0.0;0.0;pid;p2391
p2392;3;6;4.33;;pid;p2392
p2393;1;1;1.0;1.0;pid;p2393
p2394;1;9;5.0;;pid;p2394
p2395;2;6;3.33;;pid;p2395
p2396;0;2;1.0;0.0;pid;p2396
p2397;-4;53;14.71;;pid;p2397
p2398;3;8;5.5;;pid;p2398
p2399;1;5;3.0;;pid;p2399
p24;1;1;1.0;;pid;p24
p240;1;5;3.0;;pid;p240
p2400;1;1;1.0;;pid;p2400
p2401;5;5;5.0;;pid;p2401
p2402;1;2;1.33;;pid;p2402
p2403;15;15;15.0;1.0;pid;p2403
p2404;1;1;1.0;;pid;p2404
p2405;1;1;1.0;;pid;p2405
p2406;-1;1;0.0;0.0;pid;p2406
p2407;1;1;1.0;2.0;pid;p2407
p2408;3;3;3.0;1.0;pid;p2408
p2409;6;11;8.5;1.0;pid;p2409
p241;8;10;9.0;2.0;pid;p241
p2410;1;4;2.5;2.0;pid;p2410
p2411;1;1;1.0;0.0;pid;p2411
p2412;-2;6;2.0;2.0;pid;p2412
p2413;1;1;1.0;0.0;pid;p2413
p2414;1;26;10.33;1.0;pid;p2414
p2415;7;7;7.0;;pid;p2415
p2416;2;2;2.0;2.0;pid;p2416
p2417;1;1;1.0;;pid;p2417
p2418;1;1;1.0;0.0;pid;p2418
p2419;1;1;1.0;1.0;pid;p2419
p242;7;9;8.0;;pid;p242
p2420;1;1;1.0;1.0;pid;p2420
p2421;3;10;5.33;2.0;pid;p2421
p2422;1;1;1.0;;pid;p2422
p2423;-5;-5;-5.0;;pid;p2423
p2424;0;0;0.0;;pid;p2424
p2425;1;1;1.0;0.0;pid;p2425
p2426;3;3;3.0;;pid;p2426
p2427;1;1;1.0;;pid;p2427
p2428;1;7;2.25;;pid;p2428
p2429;1;1;1.0;;pid;p2429
p243;3;3;3.0;;pid;p243
p2430;-22;19;-0.67;;pid;p2430
p2431;1;1;1.0;0.0;pid;p2431
p2432;1;1;1.0;0.0;pid;p2432
p2433;1;2;1.5;;pid;p2433
p2434;-1;107;15.29;;pid;p2434
p2435;-1;1;0.0;;pid;p2435
p2436;1;1;1.0;;pid;p2436
p2437;1;1;1.0;;pid;p2437
p2438;-4;13;4.43;0.0;pid;p2438
p2439;-1;7;3.33;0.0;pid;p2439
p244;5;5;5.0;0.0;pid;p244
p2440;2;2;2.0;;pid;p2440
p2441;5;5;5.0;;pid;p2441
p2442;1;1;1.0;;pid;p2442
p2443;0;2;1.2;;pid;p2443
p2444;1;7;2.2;0.0;pid;p2444
p2445;-3;26;9.86;0.0;pid;p2445
p2446;0;1;0.5;1.0;pid;p2446
p2447;6;6;6.0;0.0;pid;p2447
p2448;3;24;13.5;0.0;pid;p2448
p2449;1;3;2.0;0.0;pid;p2449
p245;-1;-1;-1.0;0.0;pid;p245
p2450;2;2;2.0;1.0;pid;p2450
p2451;-46;237;21.15;0.0;pid;p2451
p2452;2;2;2.0;1.0;pid;p2452
p2453;1;4;1.5;2.0;pid;p2453
p2454;1;1;1.0;;pid;p2454
p2455;-1;16;5.67;;pid;p2455
p2456;4;10;7.2;;pid;p2456
p2457;2;6;3.67;;pid;p2457
p2458;1;1;1.0;1.0;pid;p2458
p2459;2;4;3.0;0.0;pid;p2459
p246;0;0;0.0;1.0;pid;p246
p2460;-1;-1;-1.0;0.0;pid;p2460
p2461;3;31;10.5;0.0;pid;p2461
p2462;-8;-8;-8.0;0.0;pid;p2462
p2463;0;0;0.0;1.0;pid;p2463
p2464;1;1;1.0;0.0;pid;p2464
p2465;-2;3;0.5;1.0;pid;p2465
p2466;3;3;3.0;2.0;pid;p2466
p2467;-1;20;6.67;0.0;pid;p2467
p2468;-1;2;0.5;1.0;pid;p2468
p2469;1;198;47.09;1.0;pid;p2469
p247;1;1;1.0;0.0;pid;p247
p2470;1;3;1.83;2.0;pid;p2470
p2471;1;17;6.5;1.0;pid;p2471
p2472;6;6;6.0;1.0;pid;p2472
p2473;1;2;1.5;1.0;pid;p2473
p2474;1;2;1.5;2.0;pid;p2474
p2475;0;0;0.0;2.0;pid;p2475
p2476;2;2;2.0;0.0;pid;p2476
p2477;1;1;1.0;0.0;pid;p2477
p2478;1;1;1.0;2.0;pid;p2478
p2479;1;7;3.25;0.0;pid;p2479
p248;1;1;1.0;1.0;pid;p248
p2480;6;13;9.33;2.0;pid;p2480
p2481;3;3;3.0;0.0;pid;p2481
p2482;0;0;0.0;0.0;pid;p2482
p2483;5;5;5.0;0.0;pid;p2483
p2484;1;1;1.0;1.0;pid;p2484
p2485;2;2;2.0;0.0;pid;p2485
p2486;1;1;1.0;1.0;pid;p2486
p2487;-14;29;7.33;0.0;pid;p2487
p2488;0;4;2.0;1.0;pid;p2488
p2489;1;12;4.5;1.0;pid;p2489
p249;6;6;6.0;0.0;pid;p249
p2490;1;1;1.0;0.0;pid;p2490
p2491;1;5;3.0;0.0;pid;p2491
p2492;-4;52;14.14;2.0;pid;p2492
p2493;0;0;0.0;2.0;pid;p2493
p2494;1;1;1.0;0.0;pid;p2494
p2495;1;2;1.5;0.0;pid;p2495
p2496;-23;99;20.14;0.0;pid;p2496
p2497;3;18;6.6;0.0;pid;p2497
p2498;1;1;1.0;0.0;pid;p2498
p2499;0;0;0.0;2.0;pid;p2499
p25;2;2;2.0;0.0;pid;p25
p250;1;5;3.0;0.0;pid;p250
p2500;1;1;1.0;2.0;pid;p2500
p2501;1;10;6.0;2.0;pid;p2501
p2502;-13;5;-1.67;0.0;pid;p2502
p2503;4;4;4.0;0.0;pid;p2503
p2504;-1;6;3.0;1.0;pid;p2504
p2505;1;1;1.0;0.0;pid;p2505
p2506;1;1;1.0;2.0;pid;p2506
p2507;1;1;1.0;2.0;pid;p2507
p2508;2;6;3.5;0.0;pid;p2508
p2509;1;1;1.0;1.0;pid;p2509
p251;1;17;10.67;0.0;pid;p251
p2510;-4;16;2.29;0.0;pid;p2510
p2511;1;1;1.0;2.0;pid;p2511
p2512;1;1;1.0;0.0;pid;p2512
p2513;1;1;1.0;2.0;pid;p2513
p2514;1;1;1.0;0.0;pid;p2514
p2515;1;10;4.0;0.0;pid;p2515
p2516;2;2;2.0;1.0;pid;p2516
p2517;3;3;3.0;0.0;pid;p2517
p2518;1;1;1.0;1.0;pid;p2518
p2519;-2;1;-0.5;0.0;pid;p2519
p252;13;13;13.0;1.0;pid;p252
p2520;0;3;2.0;2.0;pid;p2520
p2521;1;1;1.0;0.0;pid;p2521
p2522;2;3;2.5;0.0;pid;p2522
p2523;4;4;4.0;1.0;pid;p2523
p2524;4;4;4.0;2.0;pid;p2524
p2525;1;1;1.0;1.0;pid;p2525
p2526;1;1;1.0;0.0;pid;p2526
p2527;0;0;0.0;2.0;pid;p2527
p2528;1;1;1.0;0.0;pid;p2528
p2529;-4;60;13.0;0.0;pid;p2529
p253;6;6;6.0;0.0;pid;p253
p2530;1;1;1.0;0.0;pid;p2530
p2531;1;1;1.0;2.0;pid;p2531
p2532;1;2;1.67;0.0;pid;p2532
p2533;2;2;2.0;1.0;pid;p2533
p2534;2;2;2.0;1.0;pid;p2534
p2535;1;1;1.0;2.0;pid;p2535
p2536;1;1;1.0;1.0;pid;p2536
p2537;-1;0;-0.5;1.0;pid;p2537
p2538;1;7;5.0;0.0;pid;p2538
p2539;6;6;6.0;2.0;pid;p2539
p254;13;13;13.0;2.0;pid;p254
p2540;2;2;2.0;0.0;pid;p2540
p2541;-5;-5;-5.0;1.0;pid;p2541
p2542;3;3;3.0;0.0;pid;p2542
p2543;1;1;1.0;1.0;pid;p2543
p2544;2;3;2.5;;pid;p2544
p2545;1;16;5.0;1.0;pid;p2545
p2546;0;2;1.0;;pid;p2546
p2547;2;2;2.0;;pid;p2547
p2548;3;3;3.0;;pid;p2548
p2549;2;2;2.0;;pid;p2549
p255;-1;-1;-1.0;1.0;pid;p255
p2550;2;3;2.67;;pid;p2550
p2551;0;3;1.25;;pid;p2551
p2552;5;5;5.0;;pid;p2552
p2553;1;1;1.0;1.0;pid;p2553
p2554;-2;8;2.8;;pid;p2554
p2555;5;5;5.0;;pid;p2555
p2556;1;1;1.0;;pid;p2556
p2557;3;3;3.0;;pid;p2557
p2558;1;2;1.5;;pid;p2558
p2559;3;3;3.0;;pid;p2559
p256;7;7;7.0;;pid;p256
p2560;5;5;5.0;;pid;p2560
p2561;1;1;1.0;;pid;p2561
p2562;2;21;7.57;1.0;pid;p2562
p2563;1;4;2.0;1.0;pid;p2563
p2564;1;2;1.5;2.0;pid;p2564
p2565;3;3;3.0;1.0;pid;p2565
p2566;0;2;1.0;1.0;pid;p2566
p2567;1;23;9.25;2.0;pid;p2567
p2568;2;4;3.0;1.0;pid;p2568
p2569;1;1;1.0;0.0;pid;p2569
p257;2;2;2.0;1.0;pid;p257
p2570;3;3;3.0;2.0;pid;p2570
p2571;-1;-1;-1.0;0.0;pid;p2571
p2572;18;18;18.0;0.0;pid;p2572
p2573;-5;110;11.31;;pid;p2573
p2574;4;13;7.6;;pid;p2574
p2575;5;12;7.67;;pid;p2575
p2576;-4;10;3.71;;pid;p2576
p2577;1;1;1.0;;pid;p2577
p2578;1;1;1.0;;pid;p2578
p2579;-4;-4;-4.0;;pid;p2579
p258;3;10;6.5;;pid;p258
p2580;1;1;1.0;2.0;pid;p2580
p2581;1;2;1.5;1.0;pid;p2581
p2582;1;1;1.0;;pid;p2582
p2583;1;2;1.33;;pid;p2583
p2584;-4;-4;-4.0;0.0;pid;p2584
p2585;2;3;2.67;2.0;pid;p2585
p2586;3;8;5.5;;pid;p2586
p2587;6;6;6.0;0.0;pid;p2587
p2588;2;2;2.0;;pid;p2588
p2589;1;1;1.0;;pid;p2589
p259;1;1;1.0;;pid;p259
p2590;-1;7;2.4;;pid;p2590
p2591;1;1;1.0;1.0;pid;p2591
p2592;1;1;1.0;;pid;p2592
p2593;1;1;1.0;;pid;p2593
p2594;2;2;2.0;;pid;p2594
p2595;12;12;12.0;;pid;p2595
p2596;1;1;1.0;;pid;p2596
p2597;1;1;1.0;;pid;p2597
p2598;-1;7;3.0;;pid;p2598
p2599;-4;13;3.6;;pid;p2599
p26;2;2;2.0;2.0;pid;p26
p260;1;2;1.5;;pid;p260
p2600;1;1;1.0;;pid;p2600
p2601;-10;297;24.0;;pid;p2601
p2602;1;1;1.0;1.0;pid;p2602
p2603;16;20;17.67;1.0;pid;p2603
p2604;3;3;3.0;1.0;pid;p2604
p2605;-47;267;44.91;1.0;pid;p2605
p2606;1;1;1.0;1.0;pid;p2606
p2607;5;5;5.0;1.0;pid;p2607
p2608;1;1;1.0;2.0;pid;p2608
p2609;5;7;6.0;1.0;pid;p2609
p261;3;3;3.0;0.0;pid;p261
p2610;3;3;3.0;2.0;pid;p2610
p2611;1;3;2.33;1.0;pid;p2611
p2612;1;11;4.5;1.0;pid;p2612
p2613;1;8;2.86;1.0;pid;p2613
p2614;-4;413;35.11;2.0;pid;p2614
p2615;-2;23;5.0;1.0;pid;p2615
p2616;2;2;2.0;0.0;pid;p2616
p2617;-1;19;4.38;2.0;pid;p2617
p2618;4;13;8.5;0.0;pid;p2618
p2619;3;4;3.5;2.0;pid;p2619
p262;4;4;4.0;2.0;pid;p262
p2620;1;1;1.0;0.0;pid;p2620
p2621;-61;121;2.75;1.0;pid;p2621
p2622;-3;10;3.29;1.0;pid;p2622
p2623;2;5;3.33;0.0;pid;p2623
p2624;2;94;33.5;2.0;pid;p2624
p2625;1;4;2.5;0.0;pid;p2625
p2626;1;5;3.0;2.0;pid;p2626
p2627;-4;3;0.0;0.0;pid;p2627
p2628;1;1;1.0;0.0;pid;p2628
p2629;1;1;1.0;0.0;pid;p2629
p263;0;9;4.5;2.0;pid;p263
p2630;1;1;1.0;1.0;pid;p2630
p2631;1;1;1.0;1.0;pid;p2631
p2632;-5;24;8.0;0.0;pid;p2632
